0,1,2,3,4,5,6,7,8,9,10,11
0.16668814,0.29380435,0.22017543,0.20911908,0.2362804,0.20535396,0.19065504,0.1785056,0.0,0.24780849,0.23134433,0.0
0.24520749,0.1453559,0.18407987,0.24111177,0.2671582,0.14683107,0.19317038,0.15146255,0.17786545,0.13331278,0.13171503,0.27511635
0.0,0.19085115,0.26014593,0.15581194,0.18787329,0.26931703,0.1915011,0.1973929,0.0,0.20628409,0.20499553,0.16394879
0.14107147,0.1432021,0.1432285,0.17924461,0.09309616,0.1203321,0.123746864,0.21624082,0.16178562,0.20637728,0.17915468,0.16030823
0.17025508,0.21983193,0.21702503,0.1559358,0.17562751,0.15876968,0.2247638,0.17422312,0.15964368,0.13732782,0.22178304,0.0
0.16961221,0.118065745,0.0,0.16988805,0.15107566,0.21050727,0.187274,0.19328612,0.0,0.1800007,0.14211854,0.1252687
0.123702265,0.15143982,0.17480335,0.19555967,0.17472747,0.23752221,0.17788114,0.0,0.15035509,0.14747885,0.18634243,0.15546896
0.15811966,0.13971101,0.19870695,0.23082495,0.23552695,0.11720007,0.16815251,0.18991137,0.24979697,0.17288694,0.13302341,0.23896389
0.2491333,0.26306266,0.25211024,0.183584,0.22230367,0.0,0.20599489,0.14344838,0.13664472,0.20399362,0.22958744,0.1150788
0.14638603,0.19052571,0.16347297,0.14845556,0.12565537,0.16593668,0.14712542,0.17665032,0.16955134,0.0,0.18946323,0.15880333
0.24259801,0.16250795,0.1675243,0.17622736,0.18680356,0.16017656,0.21736866,0.22060797,0.16243757,0.16487505,0.16614494,0.24475358
0.19117182,0.20386413,0.15449335,0.17645963,0.16609408,0.20238507,0.19458863,0.20097311,0.24232559,0.21544565,0.20654978,0.19804248
0.17743166,0.19295995,0.0,0.21481605,0.22092652,0.24438372,0.20036292,0.0,0.24813117,0.191518,0.19030413,0.124191694
0.1970802,0.14994203,0.0,0.21520114,0.2355195,0.15158261,0.19877711,0.14704202,0.23719057,0.1399148,0.17355031,0.27303046
0.20927261,0.21937159,0.21099338,0.27164963,0.18911177,0.23200874,0.20072658,0.0,0.0,0.1928349,0.16787612,0.12900876
0.14035112,0.21033247,0.16610388,0.1469481,0.12840132,0.12292885,0.15870573,0.23648517,0.0,0.21869454,0.0,0.18012786
0.16955288,0.17887986,0.17417876,0.0,0.18427445,0.14416605,0.16946544,0.21622773,0.1402736,0.17244536,0.18281616,0.27513105
0.0,0.15962532,0.0,0.12942007,0.15287761,0.21604115,0.18307336,0.14199483,0.18267235,0.0,0.20895192,0.0
0.10864122,0.16728109,0.2211243,0.18098018,0.28142285,0.24339263,0.19193392,0.15476102,0.0,0.2039987,0.19640954,0.19008584
0.3703503,0.0,0.20651144,0.15785529,0.22984439,0.15741552,0.15905985,0.20956194,0.18392143,0.13428038,0.14402951,0.25942165
0.1426427,0.18148226,0.17508553,0.24030118,0.0,0.0,0.20132057,0.12396041,0.0,0.0,0.20566757,0.13917899
0.1631255,0.23294084,0.18271562,0.205422,0.12450676,0.11972965,0.0,0.2105634,0.16692664,0.22550154,0.0,0.15718925
0.22130919,0.16181959,0.0,0.16913114,0.1616886,0.14071693,0.23566225,0.22512381,0.19791009,0.1575459,0.20461582,0.21543217
0.10504225,0.0,0.18026571,0.1574214,0.116611935,0.21155618,0.22051121,0.18714058,0.20880243,0.14074719,0.16592757,0.14980336
0.1500592,0.21867509,0.20295502,0.25186887,0.17543198,0.2118428,0.20329076,0.18556066,0.14933382,0.18035716,0.19168341,0.18135889
0.16714256,0.16492961,0.183791,0.17495139,0.22292715,0.1462826,0.1942902,0.18626814,0.21590292,0.17694779,0.15773308,0.23840421
0.21122567,0.22862135,0.2287807,0.18505208,0.20453247,0.21459746,0.17232561,0.15354085,0.11236258,0.16392441,0.18825535,0.13980328
0.20162438,0.17293897,0.13634893,0.15058234,0.14363192,0.16854106,0.142128,0.1650638,0.15064485,0.0,0.15400544,0.14440589
0.1250881,0.18242736,0.16438653,0.12074233,0.23601355,0.0,0.20377924,0.22864076,0.17585465,0.16183703,0.2167924,0.23645425
0.25597134,0.14351884,0.19484901,0.22791418,0.12857413,0.19010118,0.1952974,0.19203688,0.30701226,0.16602832,0.0,0.17068468
0.21639381,0.2261092,0.0,0.19401328,0.21101777,0.21153083,0.18440722,0.17205812,0.20121548,0.2340077,0.19028571,0.17088401
0.19186857,0.15082215,0.13089906,0.15552221,0.2505777,0.13634597,0.20904909,0.19992477,0.22008538,0.0,0.18312389,0.3051792
0.13235141,0.24408373,0.0,0.15955277,0.1717745,0.29525444,0.21010864,0.0,0.15175766,0.2592874,0.17204247,0.1030108
0.23012528,0.17830415,0.14827159,0.24299873,0.14737973,0.16279635,0.12182602,0.19785598,0.12489417,0.1961981,0.17610288,0.1364281
0.13587946,0.16668615,0.16641879,0.15926431,0.2278851,0.16674416,0.0,0.23374856,0.16808379,0.14302942,0.20122439,0.273877
0.20449266,0.14510572,0.14755514,0.0,0.102476366,0.13843943,0.16534951,0.0,0.24507467,0.15456006,0.18833186,0.12173209
0.0,0.14588943,0.19523792,0.1758143,0.16526175,0.20853746,0.20331778,0.18231416,0.20747304,0.17674448,0.23095228,0.19588198
0.22055206,0.11115835,0.16788906,0.12263186,0.16103522,0.1549461,0.28940696,0.17172717,0.19841078,0.25121978,0.21238258,0.20249647
0.14000243,0.0,0.19810306,0.15500924,0.14057691,0.2019512,0.20833766,0.20404321,0.17360899,0.17733464,0.17055523,0.14674327
0.20695335,0.24903813,0.13227528,0.0,0.21064803,0.17632611,0.0,0.16933104,0.15511255,0.0,0.0,0.27654856
0.21386735,0.1903442,0.18246634,0.16547327,0.21510369,0.20510453,0.15628602,0.0,0.19936791,0.22520006,0.0,0.1598246
0.20060986,0.26719198,0.23513956,0.22008005,0.21848556,0.16424571,0.14862393,0.18800732,0.17713802,0.09898851,0.17900406,0.0
0.19495204,0.17944282,0.15426952,0.17537214,0.2136849,0.23160906,0.16251008,0.15721865,0.2264206,0.12834552,0.21543388,0.1476182
0.1829364,0.14019956,0.23798187,0.17746575,0.1351948,0.15020081,0.21667616,0.13908026,0.16358979,0.26842862,0.23415364,0.18443735
0.13886331,0.10823962,0.17142086,0.17381229,0.18212262,0.18067019,0.16927463,0.19816719,0.14686403,0.21024875,0.12954122,0.21695639
0.23030803,0.26677522,0.19799033,0.22579826,0.24334343,0.18624626,0.18929867,0.14283581,0.15505284,0.14651477,0.10854894,0.2103985
0.10046592,0.19156303,0.13946618,0.2325544,0.15208422,0.19829409,0.15651307,0.2937916,0.18154797,0.20690681,0.25233132,0.2201246
0.26358545,0.22489098,0.20998235,0.12610838,0.1846813,0.16409066,0.2168386,0.18001758,0.23763596,0.15066668,0.17110217,0.13157614
0.1560649,0.1819091,0.22974923,0.1660641,0.21417287,0.24722047,0.16307615,0.17801431,0.24407002,0.17282514,0.19425713,0.1453442
0.17738785,0.16627005,0.21273069,0.17364962,0.17457233,0.20142317,0.21398063,0.2048811,0.21410426,0.22922128,0.19433641,0.17294815
0.20314337,0.185492,0.0,0.13456127,0.14277856,0.17622003,0.14339808,0.14486085,0.15833949,0.187839,0.0,0.17948793
0.25113186,0.17682332,0.17649363,0.19698387,0.20223045,0.17298004,0.16329336,0.19189316,0.15363222,0.18122964,0.17194486,0.0
0.18719308,0.19905174,0.16037497,0.19854048,0.2028091,0.16155697,0.22065349,0.22417359,0.18853457,0.19369696,0.21968669,0.2961914
0.13619015,0.20156498,0.16530077,0.24131183,0.17454782,0.15171042,0.20670958,0.16728821,0.1524306,0.14629924,0.16299014,0.11812635
0.15008695,0.18146789,0.2794454,0.20678778,0.19097638,0.24692814,0.16784407,0.16958871,0.2135924,0.12694219,0.23652114,0.11828759
0.25709888,0.09073975,0.13846855,0.18383273,0.12916094,0.0,0.20493582,0.0,0.20526248,0.2815937,0.18101668,0.23195504
0.13247402,0.0,0.19268656,0.15907669,0.2569885,0.0,0.0,0.11958064,0.20432538,0.13045505,0.20882168,0.21626206
0.25055853,0.19743025,0.19597062,0.1531373,0.20643298,0.1663418,0.17703703,0.16541873,0.14832346,0.0,0.18267398,0.20313096
0.17998439,0.15704466,0.15516272,0.19115418,0.14834385,0.0,0.16711769,0.23092008,0.16245234,0.22414602,0.13744248,0.15709557
0.14090842,0.251384,0.14937735,0.21712245,0.17920849,0.0,0.18735337,0.20251057,0.17715505,0.15283746,0.16463526,0.18437995
0.22616105,0.21973313,0.18126859,0.12874533,0.0,0.0,0.16250394,0.117339894,0.28329688,0.17789862,0.20045553,0.16375808
0.0,0.16732422,0.22478737,0.19865209,0.11637885,0.23338959,0.26987633,0.22600925,0.144399,0.2667403,0.0,0.17997825
0.12232676,0.14291519,0.15106453,0.17194355,0.21213266,0.18638404,0.20639049,0.15545115,0.15506113,0.1583251,0.15307724,0.1906716
0.22782396,0.21634397,0.23679136,0.20026937,0.21495989,0.16973221,0.1548833,0.13205437,0.1674248,0.15358289,0.12785672,0.21689183
0.11948527,0.20046797,0.15844268,0.22320138,0.17046703,0.19340035,0.14839001,0.26544315,0.13866529,0.18615018,0.0,0.21510054
0.20786251,0.16432668,0.15875663,0.18829945,0.0,0.0,0.16906697,0.0,0.22226405,0.16841415,0.20706782,0.14471093
0.23533575,0.21244638,0.16468713,0.13648205,0.18001603,0.27548534,0.15351339,0.15564863,0.21466553,0.10949796,0.20731431,0.0
0.17852408,0.13746896,0.21410051,0.15981507,0.0,0.19094935,0.24135922,0.20389447,0.22833915,0.25759718,0.0,0.15827248
0.13539748,0.0,0.115218185,0.20318921,0.22950272,0.1453511,0.22712244,0.18700306,0.15081322,0.14814086,0.16143265,0.18277101
